COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
NORTH AVONDALE,"1031 AVONDALE AV
Cincinnati, OH
(39.155287588462386, -84.47404413195335)",SR12046413,CLOSED  ,Pothole repair,this is in the sreet at the end of the driveway.,10/09/2012 12:00:00 AM,10:13 AM,1031 AVONDALE AV CINC - GJ1826837016,65,STANDARD,INTERNET,10900050039,10/09/2012 12:00:00 AM,CSRWEB,10/11/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1408783,426786,
BOND HILL,"949 LAIDLAW AV
Cincinnati, OH
(39.178472110377754, -84.48370285054801)",SR12046388,CLOSED  ,Pothole repair,Pothole 3ft wide and 5 inches deep the caller said you can see metal under the pothole.,10/09/2012 12:00:00 AM,9:27 AM,949 LAIDLAW AV - GJ1735339483,64,STANDARD,PHONE,11800030002,10/09/2012 12:00:00 AM,DSWEETEN,10/11/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1406184,435016,
MADISONVILLE,"5050 KINGSLEY DR
Cincinnati, OH
(39.168753835708586, -84.40529477865036)",SR12046379,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/09/2012 12:00:00 AM,8:27 AM,KINGSLEY DR & EASTWOOD DR,108,STANDARD,INTERNET,5100110072,10/09/2012 12:00:00 AM,CSRWEB,10/11/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,,1427839,431337,
MOUNT LOOKOUT,"658 DELTA AV
Cincinnati, OH
(39.12425198523124, -84.4344020169018)",SR12046373,CLOSED  ,Pothole repair,pothole in road ,10/09/2012 12:00:00 AM,8:16 AM,658 DELTA AV - GJ2180433691,47.01,STANDARD,PHONE,2500030005,10/09/2012 12:00:00 AM,DCOTTRELL,10/11/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1419821,415316,
WESTWOOD,"2938 QUEEN CITY AV
Cincinnati, OH
(39.1351157953452, -84.60007512113947)",SR12046348,CLOSED  ,Pothole repair,I had placed a previous request (SR12042085) and was notified that the repair had been done but it has not because I drive this road way every day and I noticed this morning that it has not been repaired.,10/08/2012 12:00:00 AM,8:13 PM,QUEEN CITY AV & FERGUSON RD,109,STANDARD,INTERNET,20800590084,10/08/2012 12:00:00 AM,CSRWEB,10/10/2012 12:00:00 AM,,10/12/2012 12:00:00 AM,10/12/2012 12:00:00 AM,,1372835,420362,
EAST WESTWOOD,"2324 BROKAW AV
Cincinnati, OH
(39.1506740664521, -84.56803227723549)",SR12046330,CLOSED  ,Pothole repair,The entire street is a mess after the Gas line work and years of neglect...also bad spots by 2340 and 2344 etc,10/08/2012 12:00:00 AM,3:31 PM,2324 BROKAW AV CINC - GJ1017236311,100.02,STANDARD,INTERNET,22400040006,10/08/2012 12:00:00 AM,CSRWEB,10/10/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,,1382147,425796,
HYDE PARK,"3705 AULT PARK AV
Cincinnati, OH
(39.14032286989482, -84.41352875260174)",SR12046315,CLOSED  ,Pothole repair,large pothole by the curb in front of the address at the driveway,10/08/2012 12:00:00 AM,2:47 PM,3705 AULT PARK AV - GJ2353935513,51,STANDARD,PHONE,00380A030390      ,10/08/2012 12:00:00 AM,DCOTTRELL,10/10/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1425801,421004,
BOND HILL,"1230 REGENT AV
Cincinnati, OH
(39.1769612493685, -84.47612156584103)",SR12046313,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/08/2012 12:00:00 AM,2:44 PM,1230 REGENT AV CINC - GJ1801639471,64,STANDARD,INTERNET,13100060146,10/08/2012 12:00:00 AM,CSRWEB,10/10/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1408355,434870,
HARTWELL,"306 SHEEHAN AV
Cincinnati, OH
(39.21506996572555, -84.46270981111694)",SR12046301,CLOSED  ,Pothole repair,8388-8438 TUSKEGEE LN.,10/08/2012 12:00:00 AM,1:49 PM,TUSKEGEE LN & SHEEHAN AV,60,STANDARD,INTERNET,24500010110,10/08/2012 12:00:00 AM,CSRWEB,10/10/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1412572,448553,
MADISONVILLE,"6116 NAVARRE PL
Cincinnati, OH
(39.15699630031804, -84.39010141373848)",SR12046299,CLOSED  ,Pothole repair,resident says the whole street needs potholes fixed please patrol street,10/08/2012 12:00:00 AM,1:37 PM,6116 NAVARRE PL - GJ2550837460,56,STANDARD,PHONE,3600040165,10/08/2012 12:00:00 AM,DCOTTRELL,10/10/2012 12:00:00 AM,,10/12/2012 12:00:00 AM,10/12/2012 12:00:00 AM,,1432569,427061,
ROSELAWN,"7617 GREENLAND PL
Cincinnati, OH
(39.19960617806629, -84.4604643693109)",SR12046283,CLOSED  ,Pothole repair,I am really tired of these two potholes along with the other pits near them.,10/08/2012 12:00:00 AM,12:31 PM,7617 GREENLAND PL CINC - GJ1926741999,62.01,STANDARD,INTERNET,11700080155,10/08/2012 12:00:00 AM,CSRWEB,10/10/2012 12:00:00 AM,,10/17/2012 12:00:00 AM,10/17/2012 12:00:00 AM,,1412870,442948,
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12046233,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/08/2012 12:00:00 AM,9:55 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,10/08/2012 12:00:00 AM,CAGISMOB,10/10/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1397740,409506,E 
MADISONVILLE,"4317 WATTERSON ST
Cincinnati, OH
(39.15226586644394, -84.39188207135652)",SR12046115,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/05/2012 12:00:00 AM,2:26 PM,4317 WATTERSON ST CINC - GJ2535736915,56,STANDARD,INTERNET,3700010171,10/05/2012 12:00:00 AM,CSRWEB,10/07/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1431987,425302,
MADISONVILLE,"4315 WATTERSON ST
Cincinnati, OH
(39.152139961359865, -84.39189106457678)",SR12046114,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/05/2012 12:00:00 AM,2:21 PM,4315 WATTERSON ST CINC - GJ2535436903,56,STANDARD,INTERNET,3700010172,10/05/2012 12:00:00 AM,CSRWEB,10/07/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1431976,425265,
MADISONVILLE,"6010 BRAMBLE AV
Cincinnati, OH
(39.15172627322636, -84.3923946849132)",SR12046111,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/05/2012 12:00:00 AM,2:05 PM,BRAMBLE AV & WATTERSON ST,56,STANDARD,INTERNET,3700010173,10/05/2012 12:00:00 AM,CSRWEB,10/07/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1431896,425077,
NORTHSIDE,"1901 MEHMERT AV
Cincinnati, OH
(39.1756932053072, -84.5518175010472)",SR12046070,INPROGRS,Pothole repair,pothole is on Reemelin Ave,10/05/2012 12:00:00 AM,10:49 AM,REEMELIN AV & MEHMERT AV,79,STANDARD,INTERNET,19800450131,10/05/2012 12:00:00 AM,CSRWEB,10/07/2012 12:00:00 AM,,,10/24/2012 12:00:00 AM,,1386777,434678,
MADISONVILLE,"5206 CHARLOE ST
Cincinnati, OH
(39.16594455450962, -84.41600188818234)",SR12046066,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/05/2012 12:00:00 AM,10:26 AM,5206 CHARLOE ST CINC - GJ2325838385,108,STANDARD,INTERNET,5100100033,10/05/2012 12:00:00 AM,CSRWEB,10/07/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,,1425353,430459,
SPRING GROVE VILLAGE,"4900 SPRING GROVE AV
Cincinnati, OH
(39.169182113815054, -84.50993607414273)",SR12045918,CLOSED  ,Pothole repair,THE POTHOLES ARE ON DURHAM WHICH IS A SMALL SIDE STREET OFF OF SPRING GROVE.  DURHAM IS IN BETWEEN TWO WAREHOUSES. IT'S JUST A FEW BLOCKS NORTH OF MITCHELL AVE.  THE POT HOLE IS HALF WAY DOWN THE STREET ON THE LEFT NEAR DRIVEWAY.,10/04/2012 12:00:00 AM,3:25 PM,4900 SPRING GROVE AV CINC - GJ1513838494,73,STANDARD,INTERNET,22300030098,10/04/2012 12:00:00 AM,CSRWEB,10/06/2012 12:00:00 AM,,10/12/2012 12:00:00 AM,10/12/2012 12:00:00 AM,,1398771,432139,
KENNEDY HEIGHTS,"3748 DAVENANT AV
Cincinnati, OH
(39.1746499917532, -84.41006636278894)",SR12045882,CLOSED  ,Pothole repair,per 557 filled 1 large pothole,10/04/2012 12:00:00 AM,12:39 PM,3748 DAVENANT AV - GJ2373339385,58,STANDARD,PHONE,12700020012,10/04/2012 12:00:00 AM,DCOTTRELL,10/06/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1427070,433656,
KENNEDY HEIGHTS,"3749 DAVENANT AV
Cincinnati, OH
(39.17459603243145, -84.4101023356701)",SR12045881,CLOSED  ,Pothole repair,per 557 filled 1 pothole,10/04/2012 12:00:00 AM,12:38 PM,3749 DAVENANT AV - GJ2372639327,58,STANDARD,PHONE,12700020022,10/04/2012 12:00:00 AM,DCOTTRELL,10/06/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1427037,433466,
MADISONVILLE,"5406 WHETSEL AV
Cincinnati, OH
(39.165189124004996, -84.3925026035567)",SR12045728,CLOSED  ,Pothole repair,Large pothole in the middle of the street,10/03/2012 12:00:00 AM,1:18 PM,5406 WHETSEL AV - GJ2529638345 5406 Whetsel Ave,242,STANDARD,PHONE,3400020013,10/03/2012 12:00:00 AM,VBANKS,10/05/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1432020,429994,
CARTHAGE,"15 W 72ND ST
Cincinnati, OH
(39.195802045882374, -84.47965590141615)",SR12045719,CLOSED  ,Pothole repair,ON CEDAR AL. JUST SOUTH OF 72ND ST.,10/03/2012 12:00:00 AM,12:23 PM,W 72ND ST & CEDAR AL,61,STANDARD,INTERNET,24000020092,10/03/2012 12:00:00 AM,CSRWEB,10/05/2012 12:00:00 AM,,10/17/2012 12:00:00 AM,10/17/2012 12:00:00 AM,,1407538,441657,W 
BOND HILL,"1913 TRUITT AV
Cincinnati, OH
(39.17772567309345, -84.45985283033099)",SR12045650,CLOSED  ,Pothole repair,2large potholes curb lane,10/03/2012 12:00:00 AM,8:52 AM,1913 TRUITT AV - GJ1941239545,63,STANDARD,PHONE,11900020081,10/03/2012 12:00:00 AM,DCOTTRELL,10/05/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1412940,434885,
NORTHSIDE,"4209 KIRBY AV
Cincinnati, OH
(39.164811408752655, -84.5473118976804)",SR12045640,CLOSED  ,Pothole repair,large pothole- curb lane,10/03/2012 12:00:00 AM,8:20 AM,4209 KIRBY AV - GJ1187637942,78,STANDARD,PHONE,19500300012,10/03/2012 12:00:00 AM,DCOTTRELL,10/05/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1387989,430862,
EAST WALNUT HILLS,"2632 MOORMAN AV
Cincinnati, OH
(39.12752638042637, -84.4763407603549)",SR12045627,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/02/2012 12:00:00 AM,10:04 PM,CLAYTON ST & MOORMAN AV,42,STANDARD,INTERNET,6200030057,10/02/2012 12:00:00 AM,CSRWEB,10/04/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1407940,417102,
OAKLEY,"3983 MARBURG AV
Cincinnati, OH
(39.151276612211745, -84.42199137289748)",SR12045611,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/02/2012 12:00:00 AM,5:51 PM,MARBURG AV & PAXTON AV,53,STANDARD,INTERNET,5000060030,10/02/2012 12:00:00 AM,CSRWEB,10/04/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1423484,425175,
MADISONVILLE,"4400 RED BANK EXWY
Cincinnati, OH
(39.15361329655155, -84.40432952415667)",SR12045608,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/02/2012 12:00:00 AM,5:37 PM,4400 RED BANK EXWY CINC - GJ2429837099,55,STANDARD,INTERNET,3600010296,10/02/2012 12:00:00 AM,CSRWEB,10/04/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1428550,426074,
WESTWOOD,"2713 EUGENIE LN
Cincinnati, OH
(39.13968435125406, -84.5912437788117)",SR12045546,CLOSED  ,Pothole repair,per 686 filled 2 large pothole,10/02/2012 12:00:00 AM,1:21 PM,2713 EUGENIE LN - GJ0818135013,100.01,STANDARD,PHONE,20800610031,10/02/2012 12:00:00 AM,DCOTTRELL,10/04/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1375408,421866,
COLUMBIA TUSCULUM,"311 DELTA AV
Cincinnati, OH
(39.11702143611569, -84.43951016602824)",SR12045469,CLOSED  ,Pothole repair,large pothole inbound curb lane on Columbia Pkwy between Delta & Torrence10/02/2012 9:42 AM/DCOTTRELL - damage claim on tire.,10/02/2012 12:00:00 AM,9:39 AM,COLUMBIA PKWY & DELTA AV - GJ2138332908,49,STANDARD,PHONE,2800040022,10/02/2012 12:00:00 AM,DCOTTRELL,10/04/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1418314,412821,
EAST PRICE HILL,"1091 GRAND AV
Cincinnati, OH
(39.11300146664473, -84.56044199930818)",SR12045466,NEW     ,Pothole repair,address given- 1092 Grand- sb at the bus stop large pothole.,10/02/2012 12:00:00 AM,9:30 AM,1091 GRAND AV - GJ1090532153,93,STANDARD,PHONE,17300050161,10/02/2012 12:00:00 AM,DCOTTRELL,10/04/2012 12:00:00 AM,,,11/02/2012 12:00:00 AM,,1383866,412053,
EAST PRICE HILL,"2922 GLENWAY AV
Cincinnati, OH
(39.11315435138971, -84.55920992812804)",SR12045426,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,10/01/2012 12:00:00 AM,5:13 PM,2922 GLENWAY AV CINC - GJ1102532187,93,STANDARD,INTERNET,17200190032,10/01/2012 12:00:00 AM,CAGISMOB,10/03/2012 12:00:00 AM,,10/12/2012 12:00:00 AM,10/12/2012 12:00:00 AM,,1384265,412147,
CALIFORNIA,"108 ELDORADO AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12045377,CLOSED  ,Pothole repair,Smith Allley which runs between Eldorado Ave & Rohde Ave needs to be patrolled for potholes.,10/01/2012 12:00:00 AM,2:36 PM,108 ELDORADO AV - GJ2270427090,45,STANDARD,PHONE,800020173,10/01/2012 12:00:00 AM,KMALONE,10/03/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1421694,393546,
CALIFORNIA,"100 ELDORADO AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12045373,CLOSED  ,Pothole repair,Per 556 large pothole in the gravel road needs to be filled in @ the corner & driveway,10/01/2012 12:00:00 AM,2:28 PM,100 ELDORADO AV - GJ2268127081,45,STANDARD,PHONE,800020174,10/01/2012 12:00:00 AM,KMALONE,10/03/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1421618,393521,
WESTWOOD,"3114 WORTHINGTON AV
Cincinnati, OH
(39.14518820207337, -84.58068573818775)",SR12045343,CLOSED  ,Pothole repair,There are several potholes on the street that are growing and a large 1 at 3120 Worthington Av.,10/01/2012 12:00:00 AM,12:47 PM,3114 WORTHINGTON AV - GJ0910035669,100.02,STANDARD,PHONE,02070A540186      ,10/01/2012 12:00:00 AM,DSWEETEN,10/03/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,MPOTTER,1378527,423867,
WESTWOOD,"2223 HARRISON AV
Cincinnati, OH
(39.13448626992471, -84.57449840262615)",SR12045066,CLOSED  ,Pothole repair,2 large potholes,09/28/2012 12:00:00 AM,10:27 AM,2223 HARRISON AV - GJ0963034481,100.01,STANDARD,PHONE,21300010087,09/28/2012 12:00:00 AM,DCOTTRELL,09/30/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1380069,419890,
SOUTH FAIRMOUNT,"2141 HARRISON AV
Cincinnati, OH
(39.13381177840273, -84.56998380603909)",SR12045064,CLOSED  ,Pothole repair,8 ft dim x 1ft deep hazardous pothole ,09/28/2012 12:00:00 AM,10:26 AM,2141 HARRISON AV - GJ1003434407,89,STANDARD,PHONE,21300020036,09/28/2012 12:00:00 AM,DCOTTRELL,09/30/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1381379,419579,
BOND HILL,"1516 CAROLINA AV
Cincinnati, OH
(39.175351371602495, -84.47197034281537)",SR12045043,CLOSED  ,Pothole repair,large hazardoud pothole,09/28/2012 12:00:00 AM,8:37 AM,1516 CAROLINA AV - GJ1842939301,64,STANDARD,PHONE,11700050148,09/28/2012 12:00:00 AM,DCOTTRELL,09/30/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1409680,434244,
EAST WESTWOOD,"2040 YOAST AV
Cincinnati, OH
(39.14196862920846, -84.56362559929192)",SR12045023,CLOSED  ,Pothole repair,it's on baltimore about a block before yoast,09/27/2012 12:00:00 AM,7:18 PM,2040 YOAST AV CINC - GJ1055835377,88,STANDARD,INTERNET,20600020145,09/27/2012 12:00:00 AM,CSRWEB,09/29/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1383259,422673,
LOWER PRICE HILL,"2150 RIVER RD
Cincinnati, OH
(39.10134195808901, -84.55239907725762)",SR12044942,CLOSED  ,Pothole repair, several large haz potholes on River Rd @ state.,09/27/2012 12:00:00 AM,12:20 PM,RIVER RD & STATE AV - GJ1156830803,91,STANDARD,PHONE,14900100059,09/27/2012 12:00:00 AM,DCOTTRELL,09/29/2012 12:00:00 AM,,11/05/2012 12:00:00 AM,11/05/2012 12:00:00 AM,,1385819,407522,
COLLEGE HILL,"6004 WALDWAY LN
Cincinnati, OH
(39.1989766526458, -84.5300988740396)",SR12044803,CLOSED  ,Pothole repair,The entire street on both sides of the street has eroded away from curb. It needs to be repaved.,09/26/2012 12:00:00 AM,1:14 PM,6004 WALDWAY LN CINC - GJ1330041764,81,STANDARD,INTERNET,23700010272,09/26/2012 12:00:00 AM,CSRWEB,09/28/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1393280,443153,
EVANSTON,"2127 POGUE AV
Cincinnati, OH
(39.13528666653076, -84.45998772863538)",SR12044754,CLOSED  ,Pothole repair,POTHOLE,09/26/2012 12:00:00 AM,9:39 AM,2127 POGUE AV - GJ1954534845 At Address 2127 POGUE AV,41,STANDARD,PHONE,5300040220,09/26/2012 12:00:00 AM,DTHOMAS,09/28/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1412610,419465,
SOUTH FAIRMOUNT,"1823 WESTWOOD AV
Cincinnati, OH
(39.125358151327305, -84.55879623999459)",SR12044707,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/25/2012 12:00:00 AM,7:56 PM,WESTWOOD AV & VAN HART ST,89,STANDARD,INTERNET,20500210148,09/25/2012 12:00:00 AM,CSRWEB,09/27/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1384431,416557,
MADISONVILLE,"4205 RED BANK EXWY
Cincinnati, OH
(39.15157963613293, -84.4038065060981)",SR12044663,CLOSED  ,Pothole repair,anon call to dst desk...caller didn't have time to call public works,09/25/2012 12:00:00 AM,2:48 PM,RED BANK RD & BROTHERTON CT,55,STANDARD,INTERNET,3600060024,09/25/2012 12:00:00 AM,CSRWEB,09/27/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1428672,425042,
COLUMBIA TUSCULUM,"311 DELTA AV
Cincinnati, OH
(39.11702143611569, -84.43951016602824)",SR12044662,CLOSED  ,Pothole repair,There are 2 potholes the first is WB Columbia Pkwy 1/4 milewest of Delta Av. the other is EB Columbia Pkwy just past the overpass at Martin Rd. in the outside lane.,09/25/2012 12:00:00 AM,2:39 PM,COLUMBIA PKWY & DELTA AV - GJ2138332908,49,STANDARD,PHONE,2800040022,09/25/2012 12:00:00 AM,DSWEETEN,09/27/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1418314,412821,
MADISONVILLE,"5409 WHETSEL AV
Cincinnati, OH
(39.16531502908907, -84.39255656287844)",SR12044513,CLOSED  ,Pothole repair,this is a hole that has been previously refilled before...this section of whetsel could use a resurfacing in the effective area as the lower section of whetsel had been given a few months ago...most of the other holes in this block of whetsel will continu,09/24/2012 12:00:00 AM,9:50 PM,5409 WHETSEL AV CINC - GJ2525538364,55,STANDARD,INTERNET,3400010076,09/24/2012 12:00:00 AM,CSRWEB,09/26/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1431891,430065,
MADISONVILLE,"6134 BRAMBLE AV
Cincinnati, OH
(39.15159137492196, -84.39046114255018)",SR12044512,CLOSED  ,Pothole repair,The pavement around the pothole has other previously patched potholes. This is a new hole opening up. Thanks for your attention. It would be nice if I could save my contact information so I don't have to re-type it with every pothole repair request.,09/24/2012 12:00:00 AM,9:14 PM,BRAMBLE AV & SIMPSON AV,56,STANDARD,INTERNET,3700010531,09/24/2012 12:00:00 AM,CSRWEB,09/26/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1432462,425023,
CLIFTON,"425 LUDLOW AV
Cincinnati, OH
(39.14412700207879, -84.52361476220835)",SR12044503,CLOSED  ,Pothole repair,It is in the curb lane as you approach Whitfield going east.,09/24/2012 12:00:00 AM,6:16 PM,LUDLOW AV & WHITFIELD AV,71,STANDARD,INTERNET,21400050135,09/24/2012 12:00:00 AM,CSRWEB,09/26/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1394597,423146,
ROSELAWN,"7846 NEWBEDFORD AV
Cincinnati, OH
(39.205964384813456, -84.45761351847801)",SR12044419,CLOSED  ,Pothole repair,whole street needs patroled for potholes,09/24/2012 12:00:00 AM,1:13 PM,7846 NEWBEDFORD AV - GJ1954742715,110,STANDARD,PHONE,11700150264,09/24/2012 12:00:00 AM,DCOTTRELL,09/26/2012 12:00:00 AM,,10/17/2012 12:00:00 AM,10/17/2012 12:00:00 AM,,1413899,445246,
CLIFTON,"877 LUDLOW AV
Cincinnati, OH
(39.15034131730124, -84.53383106046118)",SR12044410,CLOSED  ,Pothole repair,This is an extremely dangerous situation because all drivers would see is a small opening.  The location--adjacent to Dunore Park on Ludlow in Clifton gets a lot of bus traffic at high speeds coming down the hill and I am very worried because in just the ,09/24/2012 12:00:00 AM,12:31 PM,LUDLOW AV & OLD LUDLOW AV,71,STANDARD,INTERNET,21500690073,09/24/2012 12:00:00 AM,CSRWEB,09/26/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1391801,425496,
COLLEGE HILL,"5945 KENNETH AV
Cincinnati, OH
(39.19973208315042, -84.53950578246611)",SR12044344,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,10:17 AM,5945 KENNETH AV CINC - GJ1245241825,82.01,STANDARD,INTERNET,23500030051,09/24/2012 12:00:00 AM,CSRWEB,09/26/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1390514,443492,
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12044297,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,8:32 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/24/2012 12:00:00 AM,CAGISMOB,09/26/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1397740,409506,E 
OAKLEY,"4101 EILEEN DR
Cincinnati, OH
(39.15307525627031, -84.4378913863755)",SR12044265,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/23/2012 12:00:00 AM,6:22 PM,4101 EILEEN DR CINC - GJ2138536882,52,STANDARD,INTERNET,4900030025,09/23/2012 12:00:00 AM,CSRWEB,09/25/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1418970,425841,
CLIFTON,"601 MCALPIN AV
Cincinnati, OH
(39.15078198509559, -84.53130396555889)",SR12044038,CLOSED  ,Pothole repair,This was previously requested on SR12036946 & SR12033308.  I was notified that it was completed but IT HAS NOT BEEN COMPLETED.  I also requested to be called back but NO ONE EVER CALLED ME.  I would appreciate a response to my third request.  If the city ,09/21/2012 12:00:00 AM,8:27 AM,601 MCALPIN AV CINC - GJ1341336345,71,STANDARD,INTERNET,21500680061,09/21/2012 12:00:00 AM,CSRWEB,09/23/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1392770,425382,
