COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
HEIGHTS,"42 CALHOUN ST
Cincinnati, OH
(39.12808309707606, -84.5125081351465)",Graffiti removal,SR12050527,NEW     ,Accessible from parking lot.,11/11/2012 12:00:00 AM,3:36 PM,42 CALHOUN ST CINC - GJ1500433950,30,STANDARD,INTERNET,10200050209,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,,11/11/2012 12:00:00 AM,,1397590,417277,
CUF,"2442 VINE ST
Cincinnati, OH
(39.12712082250471, -84.51178867752304)",Graffiti removal,SR12050524,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/11/2012 12:00:00 AM,11:54 AM,2442 VINE ST CINC - GJ1509933833,23,STANDARD,INTERNET,9300010003,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,11/27/2012 12:00:00 AM,11/27/2012 12:00:00 AM,,1397874,416853,
OVER-THE-RHINE,"131 E MCMICKEN AV
Cincinnati, OH
(39.11395474799576, -84.51373121310633)",Graffiti removal,SR12050521,NEW     ,Accessible through vacant lot,11/11/2012 12:00:00 AM,11:29 AM,131 E MCMICKEN AV CINC - GJ1494532343,17,STANDARD,INTERNET,9400070215,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,,11/11/2012 12:00:00 AM,,1397134,412019,E 
OVER-THE-RHINE,"148 E MCMICKEN AV
Cincinnati, OH
(39.11360028336413, -84.51316567606003)",Graffiti removal,SR12050520,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/11/2012 12:00:00 AM,11:21 AM,148 E MCMICKEN AV CINC - GJ1501732334,17,STANDARD,INTERNET,9400070232,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,,11/11/2012 12:00:00 AM,,1397370,411978,E 
MOUNT AUBURN,"2445 HIGHLAND AV
Cincinnati, OH
(39.166289643162884, -84.44557179188594)",Graffiti removal,SR12050519,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/11/2012 12:00:00 AM,11:18 AM,2445 HIGHLAND AV CINC - GJ1578633739,22,STANDARD,INTERNET,8900030023,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1400118,416456,
MOUNT AUBURN,"2551 READING RD
Cincinnati, OH
(39.12804712419489, -84.5001604436842)",Graffiti removal,SR12050518,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/11/2012 12:00:00 AM,11:07 AM,2551 READING RD CINC - GJ1608433993,34,STANDARD,INTERNET,9100030017,11/11/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1401136,417241,
PLEASANT RIDGE,"6111 RIDGE AV
Cincinnati, OH
(39.182519059509616, -84.42730636609065)",Graffiti removal,SR12050349,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/08/2012 12:00:00 AM,5:57 PM,6111 RIDGE AV CINC - GJ2220540183,57.01,STANDARD,INTERNET,12200040132,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,,11/08/2012 12:00:00 AM,,1422199,436519,
OVER-THE-RHINE,"1621 MOORE ST
Cincinnati, OH
(39.11409863952048, -84.51472046733858)",Graffiti removal,SR12050347,CLOSED  ,you can't miss the swear words,11/08/2012 12:00:00 AM,5:30 PM,1621 MOORE ST CINC - GJ1483632397,17,STANDARD,INTERNET,9400070050,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,,1396786,412215,
WEST END,"1101 YORK ST
Cincinnati, OH
(39.11764196831592, -84.53299469097396)",Graffiti removal,SR12050346,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/08/2012 12:00:00 AM,5:22 PM,1101 YORK ST CINC - GJ1326832704,14,STANDARD,INTERNET,18400050222,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1391700,413476,
CBD/RIVERFRONT,"302 LYTLE ST
Cincinnati, OH
(39.100993611048146, -84.50340560028756)",Graffiti removal,SR12050226,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/08/2012 12:00:00 AM,9:44 AM,E 3RD ST & LYTLE ST,6,STANDARD,INTERNET,8400030120,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,,11/08/2012 12:00:00 AM,,1400030,407251,
MADISONVILLE,"6022 MADISON RD
Cincinnati, OH
(39.16048566979174, -84.39086583746337)",Graffiti removal,SR12050204,CLOSED  ,White paint on unpainted red brick,11/08/2012 12:00:00 AM,8:42 AM,MATHIS ST & MADISON RD,55,STANDARD,INTERNET,3500030143,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1432432,428264,
MADISONVILLE,"4718 WHETSEL AV
Cincinnati, OH
(39.157293076587735, -84.39345588490778)",Graffiti removal,SR12050201,CLOSED  ,Yellow brick and cement block red white and black paint,11/08/2012 12:00:00 AM,8:40 AM,ERIE AV & WHETSEL AV,56,STANDARD,INTERNET,3600040084,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,,1431627,427152,
WEST END,"1127 DAYTON ST
Cincinnati, OH
(39.118613236107535, -84.53411884351056)",Graffiti removal,SR12050187,CLOSED  ,The entire lower wall of the building is tagged.Paint cans are still there. Perhaps there are FINGERPRINTS that could link this crime to the vandal?,11/08/2012 12:00:00 AM,7:44 AM,1127 DAYTON ST CINC - GJ1318032812,14,STANDARD,INTERNET,18400050125,11/08/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1391429,413846,
CAMP WASHINGTON,"3126 SPRING GROVE AV
Cincinnati, OH
(39.138308388549206, -84.54173610109876)",Graffiti removal,SR12050114,CLOSED  ,Graffiti on side of building,11/07/2012 12:00:00 AM,1:23 PM,3126 SPRING GROVE AV - GJ1250234994,28,STANDARD,PHONE,18800160019,11/07/2012 12:00:00 AM,LSHACKELFORD,12/07/2012 12:00:00 AM,,11/07/2012 12:00:00 AM,11/07/2012 12:00:00 AM,,1389560,421102,
SPRING GROVE VILLAGE,"4516 CIRCLE AV
Cincinnati, OH
(39.170324252792284, -84.51731051478299)",Graffiti removal,SR12050111,CLOSED  ,Graffiti on front of house,11/07/2012 12:00:00 AM,1:12 PM,4516 CIRCLE AV - GJ1449638614,73,STANDARD,PHONE,21900530023,11/07/2012 12:00:00 AM,LSHACKELFORD,12/07/2012 12:00:00 AM,,11/07/2012 12:00:00 AM,11/07/2012 12:00:00 AM,,1396683,432635,
MOUNT AUBURN,"2441 AUBURN AV
Cincinnati, OH
(39.126722324590894, -84.50847996801278)",Graffiti removal,SR12050098,CLOSED  ,Accessible from sidewalk on McMillan,11/07/2012 12:00:00 AM,11:58 AM,2441 AUBURN AV CINC - GJ1534633829,23,STANDARD,INTERNET,8900040032,11/07/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1398690,416822,
WEST END,"2147 CENTRAL AV
Cincinnati, OH
(39.121239256433114, -84.53067444013834)",Graffiti removal,SR12050050,INPROGRS,GRAFFITI ON THE SIDE OF THE BUILDING - PLEASE GIVE CITIZEN A CALL,11/07/2012 12:00:00 AM,10:14 AM,2147 CENTRAL AV - GJ1346833121,15,STANDARD,PHONE,13200010003,11/07/2012 12:00:00 AM,CCOLEMAN,12/07/2012 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1392420,414807,
WESTWOOD,"3002 MONTANA AV
Cincinnati, OH
(39.14849770714119, -84.60018303978296)",Graffiti removal,SR12050010,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/07/2012 12:00:00 AM,6:20 AM,MONTANA AV & EPWORTH AV,101,STANDARD,INTERNET,21000730025,11/07/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1373022,425220,
WESTWOOD,"3101 HARRISON AV
Cincinnati, OH
(39.150755005434746, -84.60029995164678)",Graffiti removal,SR12050007,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/07/2012 12:00:00 AM,6:18 AM,3101 HARRISON AV CINC - GJ0734736245,101,STANDARD,INTERNET,21000740108,11/07/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1372879,426043,
WESTWOOD,"3300 PARKCREST LN
Cincinnati, OH
(39.14605155122149, -84.62234233458491)",Graffiti removal,SR12050006,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/07/2012 12:00:00 AM,6:18 AM,3300 PARKCREST LN CINC - GJ0547735629,102.01,STANDARD,INTERNET,21200630154,11/07/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1366650,424329,
EAST PRICE HILL,"3111 PRICE AV
Cincinnati, OH
(39.1069400361672, -84.56296909421053)",Graffiti removal,SR12049997,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/06/2012 12:00:00 AM,4:51 PM,3111 PRICE AV CINC - GJ1071931460,93,STANDARD,INTERNET,17500170059,11/06/2012 12:00:00 AM,CSRWEB,12/06/2012 12:00:00 AM,,11/08/2012 12:00:00 AM,11/08/2012 12:00:00 AM,,1383145,409815,
WEST END,"1044 MOUND ST
Cincinnati, OH
(39.106787989521024, -84.52341191636859)",Graffiti removal,SR12049996,CLOSED  ,GRAFFITI ON RETAINING WALL ON CHESTNUT BETWEEN MOUND ST AND JOHN ST,11/06/2012 12:00:00 AM,4:50 PM,CHESTNUT ST & MOUND ST - GJ1413631550,3.02,STANDARD,PHONE,13400050570,11/06/2012 12:00:00 AM,CCOLEMAN,12/06/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,,1394354,409551,
WEST END,"1056 MOUND ST
Cincinnati, OH
(39.10729077175864, -84.52339892492131)",Graffiti removal,SR12049995,INPROGRS,graffiti on the back of St. Luke Church,11/06/2012 12:00:00 AM,4:49 PM,1056 MOUND ST - GJ1416031602,3.02,STANDARD,PHONE,13400050565,11/06/2012 12:00:00 AM,CCOLEMAN,12/06/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1394440,409718,
EAST PRICE HILL,"3410 WARSAW AV
Cincinnati, OH
(39.11015061581185, -84.5658109518231)",Graffiti removal,SR12049966,CLOSED  ,This is graffiti that is gang related to a homicide that occurred there on 11/2/12.  A memorial has been errected and they have started to write on the wall.  It looks like it is being done in some kind of marker.  It doesn't look to be spray paint.  Capt,11/06/2012 12:00:00 AM,2:04 PM,3410 WARSAW AV CINC - GJ1042531905,94,STANDARD,INTERNET,17400090055,11/06/2012 12:00:00 AM,CSRWEB,12/06/2012 12:00:00 AM,,11/08/2012 12:00:00 AM,11/08/2012 12:00:00 AM,,1382250,411323,
CAMP WASHINGTON,"3591 SPRING GROVE AV
Cincinnati, OH
(39.15069205289268, -84.54179905364083)",Graffiti removal,SR12049815,CLOSED  ,Graffiti on side of building,11/05/2012 12:00:00 AM,1:54 PM,3591 SPRING GROVE AV - GJ1239836369,28,STANDARD,PHONE,19100320051,11/05/2012 12:00:00 AM,LSHACKELFORD,12/05/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1389443,425624,
CAMP WASHINGTON,"3475 SPRING GROVE AV
Cincinnati, OH
(39.14738254782486, -84.54132241296526)",Graffiti removal,SR12049814,CLOSED  ,Graffiti  on side of building,11/05/2012 12:00:00 AM,1:51 PM,3475 SPRING GROVE AV - GJ1244236003,28,STANDARD,PHONE,19000290040,11/05/2012 12:00:00 AM,LSHACKELFORD,12/05/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1389530,424417,
HEIGHTS,"328 W MCMILLAN ST
Cincinnati, OH
(39.128146049618124, -84.52384858593598)",Graffiti removal,SR12049813,NEW     ,GRAFFITI ON THE SIDE OF THE BUILDING,11/05/2012 12:00:00 AM,1:49 PM,328 W MCMILLAN ST - GJ1403233936,26,STANDARD,PHONE,10100070123,11/05/2012 12:00:00 AM,CCOLEMAN,12/05/2012 12:00:00 AM,,,11/05/2012 12:00:00 AM,,1394400,417387,W 
EAST PRICE HILL,"4210 GLENWAY AV
Cincinnati, OH
(39.11440440901043, -84.58388732461202)",Graffiti removal,SR12049777,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/05/2012 12:00:00 AM,11:21 AM,4210 GLENWAY AV CINC - GJ0889232277,97,STANDARD,INTERNET,17900750175,11/05/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,11/05/2012 12:00:00 AM,,1377293,412789,
MOUNT AUBURN,"1637 HUGHES ST
Cincinnati, OH
(39.113792870030466, -84.51164478599839)",Graffiti removal,SR12049756,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/05/2012 12:00:00 AM,10:32 AM,1637 HUGHES ST CINC - GJ1513632347,17,STANDARD,INTERNET,8600030048,11/05/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397760,412002,
WEST END,"501 CHESTNUT ST
Cincinnati, OH
(39.106787151422225, -84.52291329102547)",Graffiti removal,SR12049721,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/05/2012 12:00:00 AM,8:58 AM,501 CHESTNUT ST CINC - GJ1419131539,3.02,STANDARD,INTERNET,13400050283,11/05/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,11/05/2012 12:00:00 AM,,1394532,409509,
EAST PRICE HILL,"3834 GLENWAY AV
Cincinnati, OH
(39.11403568697841, -84.57708845007056)",Graffiti removal,SR12049715,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/05/2012 12:00:00 AM,8:50 AM,3834 GLENWAY AV CINC - GJ0947532235,94,STANDARD,INTERNET,17400050116,11/05/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1379200,412558,
CBD/RIVERFRONT,"514 E 3RD ST
Cincinnati, OH
(39.10137035001118, -84.50251676818428)",Graffiti removal,SR12049690,CLOSED  ,There is also Graffiti just west of this location.  It appears to be at the opening of the I-71 tunnel under Lytle Park...I cannot give an address other than that.,11/04/2012 12:00:00 AM,4:30 PM,514 E 3RD ST CINC - GJ1590530947,6,STANDARD,INTERNET,8400030121,11/04/2012 12:00:00 AM,CSRWEB,12/04/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1400054,407289,E 
NORTH AVONDALE,"3852 DAKOTA AV
Cincinnati, OH
(39.15176224610752, -84.47959294887414)",Graffiti removal,SR12049688,CLOSED  ,Graffiti which states b note in black spraypaint is on the face of a yellow diamond stop ahead sign. Sign is on the northwest corner of this 3-way intersection.,11/04/2012 12:00:00 AM,2:53 PM,VALLEY LN & DAKOTA AV,65,STANDARD,INTERNET,11000020036,11/04/2012 12:00:00 AM,CSRWEB,12/04/2012 12:00:00 AM,,12/12/2012 12:00:00 AM,12/12/2012 12:00:00 AM,,1407167,425708,
CBD/RIVERFRONT,"600 BROADWAY
Cincinnati, OH
(39.103432732976216, -84.50671299715799)",Graffiti removal,SR12049685,CLOSED  ,Large black grafffitti,11/04/2012 12:00:00 AM,11:15 AM,E 6TH ST & BROADWAY,7,STANDARD,INTERNET,7900030001,11/04/2012 12:00:00 AM,CSRWEB,12/04/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1399071,408217,
MADISONVILLE,"6022 MADISON RD
Cincinnati, OH
(39.16048566979174, -84.39086583746337)",Graffiti removal,SR12049671,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/03/2012 12:00:00 AM,10:01 AM,MADISON RD & MATHIS ST,55,STANDARD,INTERNET,3500030143,11/03/2012 12:00:00 AM,CSRWEB,12/03/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1432432,428264,
MADISONVILLE,"4930 WHETSEL AV
Cincinnati, OH
(39.16022160505461, -84.39305037099331)",Graffiti removal,SR12049665,CLOSED  ,it has pictures glued all over the east side of this box,11/03/2012 12:00:00 AM,9:34 AM,MADISON RD & WHETSEL AV,55,STANDARD,INTERNET,3600020071,11/03/2012 12:00:00 AM,CSRWEB,12/03/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1431755,428337,
CUF,"349 WARNER ST
Cincinnati, OH
(39.12502540217645, -84.52564722999455)",Graffiti removal,SR12049658,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,9:36 PM,RAVINE ST & WARNER ST,27,STANDARD,INTERNET,9600020209,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,11/27/2012 12:00:00 AM,11/27/2012 12:00:00 AM,,1393842,416227,
WEST END,"1117 BANK ST
Cincinnati, OH
(39.11962047678037, -84.53343535876832)",Graffiti removal,SR12049656,CLOSED  ,If possible try to remove graffiti from the semi trailer parked in the lot at the corner belong to George Fern Co. Lot usually has water standing in pond.,11/02/2012 12:00:00 AM,9:26 PM,BANK ST & PATTERSON ST,14,STANDARD,INTERNET,18400050021,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,,1391609,414311,
WEST END,"2112 CENTRAL AV
Cincinnati, OH
(39.12096945982432, -84.5294423689582)",Graffiti removal,SR12049655,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,9:21 PM,2112 CENTRAL AV CINC - GJ1358433124,15,STANDARD,INTERNET,13200010029,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,,11/02/2012 12:00:00 AM,,1392804,414799,
CUF,"2133 CENTRAL PKWY
Cincinnati, OH
(39.120464297135335, -84.52605337879564)",Graffiti removal,SR12049654,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,9:17 PM,CENTRAL PKWY & RAVINE ST,15,STANDARD,INTERNET,9600010021,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,,1393670,414621,
MOUNT AUBURN,"10 E MCMILLAN ST
Cincinnati, OH
(39.127273707249685, -84.51004399278622)",Graffiti removal,SR12049634,INPROGRS,GRAFFITI ON RETAINING WALL AND DUMPSTER,11/02/2012 12:00:00 AM,4:17 PM,10 E MCMILLAN ST - GJ1515733866,33,STANDARD,PHONE,10200040174,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1398075,416973,E 
CUF,"13 W MCMILLAN ST
Cincinnati, OH
(39.127381625893236, -84.51240920972327)",Graffiti removal,SR12049633,CLOSED  ,GRAFFITI ON WOODEN FENCE,11/02/2012 12:00:00 AM,4:15 PM,13 W MCMILLAN ST - GJ1503233839,25,STANDARD,PHONE,10000040065,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1397662,416906,W 
CUF,"16 W MCMILLAN ST
Cincinnati, OH
(39.12745644731365, -84.51225832091606)",Graffiti removal,SR12049631,CLOSED  ,GRAFFITI ON RETAINING WALL,11/02/2012 12:00:00 AM,4:14 PM,16 W MCMILLAN ST - GJ1504533874,33,STANDARD,PHONE,10200050264,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,11/26/2012 12:00:00 AM,11/26/2012 12:00:00 AM,,1397709,417017,W 
CUF,"29 W MCMILLAN ST
Cincinnati, OH
(39.12742659199466, -84.51312866734673)",Graffiti removal,SR12049630,INPROGRS,GRAFFITI ON PILLAR AND FRONT OF THE BUILDING,11/02/2012 12:00:00 AM,4:13 PM,29 W MCMILLAN ST - GJ1497833847,25,STANDARD,PHONE,10000040057,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1397485,416938,W 
CUF,"50 W MCMILLAN ST
Cincinnati, OH
(39.12751652419763, -84.51369524022516)",Graffiti removal,SR12049628,CLOSED  ,GRAFFITI ON THE SIGN AND FENCE,11/02/2012 12:00:00 AM,4:10 PM,50 W MCMILLAN ST - GJ1491933888,33,STANDARD,PHONE,10200050245,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1397300,417083,W 
CUF,"52 W MCMILLAN ST
Cincinnati, OH
(39.127525517417894, -84.51381215208897)",Graffiti removal,SR12049626,CLOSED  ,GRAFFITI ON THE SIDE AND FRONT OF THE BUILDING,11/02/2012 12:00:00 AM,4:09 PM,52 W MCMILLAN ST - GJ1491233884,33,STANDARD,PHONE,10200050243,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1397274,417072,W 
MOUNT AUBURN,"2301 AUBURN AV
Cincinnati, OH
(39.12366742591223, -84.50847917245522)",Graffiti removal,SR12049625,INPROGRS,GRAFFITI ON RETAINING WALL,11/02/2012 12:00:00 AM,4:07 PM,2301 AUBURN AV - GJ1537033410,23,STANDARD,PHONE,8800090093,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,,11/21/2012 12:00:00 AM,,1398697,415444,
CUF,"349 WARNER ST
Cincinnati, OH
(39.12502540217645, -84.52564722999455)",Graffiti removal,SR12049624,CLOSED  ,GRAFFITI ON THE WALL,11/02/2012 12:00:00 AM,4:06 PM,RAVINE ST & WARNER ST - GJ1388033575,27,STANDARD,PHONE,9600020209,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1393842,416227,
CUF,"169 W MCMILLAN ST
Cincinnati, OH
(39.127804307247004, -84.51897426053716)",Graffiti removal,SR12049623,CLOSED  ,GRAFFITI ON THE SIDE OF THE BUILDING,11/02/2012 12:00:00 AM,4:04 PM,169 W MCMILLAN ST - GJ1445433876,25,STANDARD,PHONE,10000020203,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1395773,417120,W 
CUF,"239 W MCMILLAN ST
Cincinnati, OH
(39.1279392055514, -84.52091679612045)",Graffiti removal,SR12049621,CLOSED  ,GRAFFITI ON THE FRONT DOOR,11/02/2012 12:00:00 AM,4:01 PM,239 W MCMILLAN ST - GJ1429733879,26,STANDARD,PHONE,10000020071,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1395261,417157,W 
CUF,"30 W MCMILLAN ST
Cincinnati, OH
(39.127453571655565, -84.5127779317553)",Graffiti removal,SR12049620,CLOSED  ,GRAFFITI ON RETAIN WALL,11/02/2012 12:00:00 AM,3:58 PM,30 W MCMILLAN ST - GJ1499733877,33,STANDARD,PHONE,10200050318,11/02/2012 12:00:00 AM,CCOLEMAN,12/02/2012 12:00:00 AM,,11/26/2012 12:00:00 AM,11/26/2012 12:00:00 AM,,1397554,417036,W 
MOUNT AUBURN,"1814 SYCAMORE ST
Cincinnati, OH
(39.11751606323179, -84.51029580295443)",Graffiti removal,SR12049607,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,2:38 PM,1814 SYCAMORE ST CINC - GJ1526532767,18,STANDARD,INTERNET,8700040002,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1398251,413358,
MOUNT AUBURN,"1827 SYCAMORE ST
Cincinnati, OH
(39.11781283950148, -84.5097022504151)",Graffiti removal,SR12049603,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,2:26 PM,1827 SYCAMORE ST CINC - GJ1529632817,23,STANDARD,INTERNET,9400060222,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1398360,413515,
MOUNT AUBURN,"2007 AUBURN AV
Cincinnati, OH
(39.11823552085525, -84.50884789448725)",Graffiti removal,SR12049601,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,11/02/2012 12:00:00 AM,2:24 PM,2007 AUBURN AV CINC - GJ1535532852,23,STANDARD,INTERNET,8800080109,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1398559,413621,
MOUNT AUBURN,"2009 AUBURN AV
Cincinnati, OH
(39.11830746661758, -84.50883890126698)",Graffiti removal,SR12049600,CLOSED  ,Accessible on Estelle ST,11/02/2012 12:00:00 AM,2:23 PM,2009 AUBURN AV CINC - GJ1535532870,23,STANDARD,INTERNET,8800080111,11/02/2012 12:00:00 AM,CSRWEB,12/02/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,,1398564,413679,
